State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s),Unnamed: 6
NSW,WATTAMONDARA,2794,Riverina,,,
NSW,WEEDALLION,2594,Riverina,,,
NSW,WEETHALLE,2669,Riverina,,,
NSW,WEST WYALONG,2671,Riverina,,,
NSW,WESTBY,2650,Riverina,,PULLETOP,
NSW,WIRRIMAH,2803,Riverina,,,
...910111213,...910111213,...910111213,...910111213,...910111213,...910111213,
...,9,10,11,12,13,
NSW,WIRRINYA,2871,Riverina,,,
NSW,WOMBAT,2587,Riverina,,,
NSW,WOODSTOCK,2793,Riverina,,,
NSW,WRATHALL,2642,Riverina,,,
NSW,WYALONG,2671,Riverina,,,
NSW,WYANGALA,2808,Riverina,,,
NSW,YANNAWAH,2594,Riverina,,MILVALE,
NSW,YARRABANDAI,2875,Riverina,,,
NSW,YARRAGUNDRY,2650,Riverina,,,
NSW,YATHELLA,2650,Riverina,,,
NSW,YERONG CREEK,2642,Riverina,,,
NSW,YOUNG,2594,Riverina,,,
...910111213,...910111213,...910111213,...910111213,...910111213,...910111213,
...,9,10,11,12,13,
