id,postcode
1458,4157
1459,4158
1460,4159
1461,4160
1462,4161
1463,4163
1464,4164
1465,4165
1466,4169
1467,4170
1468,4171
1469,4172
1470,4173
1471,4174
1472,4178
1473,4179
1474,4183
1475,4184
1476,4205
1477,4207
1478,4208
1479,4209
1480,4210
1481,4211
1482,4212
1483,4213
1484,4214
1485,4215
1486,4216
1487,4217
1488,4218
1489,4220
1490,4221
1491,4223
1492,4224
1493,4225
1494,4226
1495,4227
1496,4228
1497,4270
1498,4271
1499,4272
1500,4275
1501,4280
1502,4285
1503,4287
1504,4300
1505,4301
1506,4303
1507,4304
1508,4305
1509,4306
1510,4307
1511,4309
1512,4310
1513,4311
1514,4312
1515,4313
1516,4314
1517,4340
1518,4341
1519,4342
1520,4343
1521,4344
1522,4346
1523,4347
1524,4350
1525,4352
1526,4353
1527,4354
1528,4355
1529,4356
1530,4357
1531,4358
1532,4359
1533,4360
1534,4361
1535,4362
1536,4363
1537,4364
1538,4365
1539,4370
1540,4371
1541,4372
1542,4373
1543,4374
1544,4375
1545,4376
1546,4377
1547,4378
1548,4380
1549,4381
1550,4382
1551,4383
1552,4384
1553,4385
1554,4387
1555,4388
1556,4390
1557,4400
1558,4401
1559,4402
1560,4403
1561,4404
1562,4405
1563,4406
1564,4407
1565,4408
1566,4410
1567,4411
1568,4412
1569,4413
1570,4415
1571,4416
1572,4417
1573,4418
1574,4419
1575,4420
1576,4421
1577,4422
1578,4423
1579,4424
1580,4425
1581,4426
1582,4427
1583,4428
1584,4454
1585,4455
1586,4461
1587,4462
1588,4465
1589,4467
1590,4468
1591,4470
1592,4472
1593,4474
1594,4475
1595,4477
1596,4478
1597,4479
1598,4480
1599,4481
1600,4482
1601,4486
1602,4487
1603,4488
1604,4489
1605,4490
1606,4491
1607,4492
1608,4493
1609,4494
1610,4496
1611,4497
1612,4498
1613,4500
1614,4501
1615,4502
1616,4503
1617,4504
1618,4505
1619,4506
1620,4507
1621,4508
1622,4509
1623,4510
1624,4511
1625,4512
1626,4514
1627,4515
1628,4516
1629,4517
1630,4518
1631,4519
1632,4520
1633,4521
1634,4550
1635,4551
1636,4552
1637,4553
1638,4554
1639,4555
1640,4556
1641,4557
1642,4558
1643,4559
1644,4560
1645,4561
1646,4562
1647,4563
1648,4564
1649,4565
1650,4566
1651,4567
1652,4568
1653,4569
1654,4570
1655,4571
1656,4572
1657,4573
1658,4574
1659,4575
1660,4580
1661,4581
1662,4600
1663,4601
1664,4605
1665,4606
1666,4608
1667,4610
1668,4611
1669,4612
1670,4613
1671,4614
1672,4615
1673,4620
1674,4621
1675,4625
1676,4626
1677,4627
1678,4630
1679,4650
1680,4655
1681,4659
1682,4660
1683,4662
1684,4670
1685,4671
1686,4673
1687,4674
1688,4676
1689,4677
1690,4678
1691,4680
1692,4694
1693,4695
1694,4697
1695,4699
1696,4700
1697,4701
1698,4702
1699,4703
1700,4704
1701,4705
1702,4706
1703,4707
1704,4709
1705,4710
1706,4711
1707,4712
1708,4713
1709,4714
1710,4715
1711,4716
1712,4717
1713,4718
1714,4719
1715,4720
1716,4721
1717,4722
1718,4723
1719,4724
1720,4725
1721,4726
1722,4727
1723,4728
1724,4730
1725,4731
1726,4732
1727,4733
1728,4735
1729,4736
1730,4737
1731,4738
1732,4739
1733,4740
1734,4741
1735,4742
1736,4743
1737,4744
1738,4745
1739,4746
1740,4750
1741,4751
1742,4753
1743,4754
1744,4756
1745,4757
1746,4798
1747,4799
1748,4800
1749,4801
1750,4802
1751,4803
1752,4804
1753,4805
1754,4806
1755,4807
1756,4808
1757,4809
1758,4810
1759,4811
1760,4812
1761,4813
1762,4814
1763,4815
1764,4816
1765,4817
1766,4818
1767,4819
