id,postcode
726,3142
727,3143
728,3144
729,3145
730,3146
731,3147
732,3148
733,3149
734,3150
735,3151
736,3152
737,3153
738,3154
739,3155
740,3156
741,3158
742,3159
743,3160
744,3161
745,3162
746,3163
747,3165
748,3166
749,3167
750,3168
751,3169
752,3170
753,3171
754,3172
755,3173
756,3174
757,3175
758,3177
759,3178
760,3179
761,3180
762,3181
763,3182
764,3183
765,3184
766,3185
767,3186
768,3187
769,3188
770,3189
771,3190
772,3191
773,3192
774,3193
775,3194
776,3195
777,3196
778,3197
779,3198
780,3199
781,3200
782,3201
783,3202
784,3204
785,3205
786,3206
787,3207
788,3211
789,3212
790,3213
791,3214
792,3215
793,3216
794,3217
795,3218
796,3219
797,3220
798,3221
799,3222
800,3223
801,3224
802,3225
803,3226
804,3227
805,3228
806,3230
807,3231
808,3232
809,3233
810,3234
811,3235
812,3236
813,3237
814,3238
815,3239
816,3240
817,3241
818,3242
819,3243
820,3249
821,3250
822,3251
823,3254
824,3260
825,3265
826,3266
827,3268
828,3271
829,3274
830,3277
831,3279
832,3281
833,3283
834,3285
835,3286
836,3300
837,3301
838,3302
839,3303
840,3304
841,3305
842,3311
843,3312
844,3314
845,3315
846,3318
847,3319
848,3321
849,3322
850,3323
851,3329
852,3331
853,3332
854,3333
855,3334
856,3335
857,3336
858,3337
859,3338
860,3340
861,3341
862,3342
863,3345
864,3350
865,3351
866,3352
867,3356
868,3357
869,3361
870,3363
871,3364
872,3370
873,3371
874,3373
875,3375
876,3377
877,3379
878,3381
879,3384
880,3385
881,3387
882,3388
883,3391
884,3392
885,3393
886,3395
887,3401
888,3407
889,3409
890,3414
891,3418
892,3424
893,3427
894,3428
895,3429
896,3430
897,3431
898,3432
899,3433
900,3434
901,3435
902,3437
903,3438
904,3440
905,3441
906,3442
907,3444
908,3446
909,3448
910,3450
911,3451
912,3453
913,3458
914,3460
915,3461
916,3462
917,3463
918,3464
919,3465
920,3467
921,3468
922,3472
923,3475
924,3477
925,3480
926,3483
927,3485
928,3490
929,3494
930,3496
931,3505
932,3512
933,3515
934,3516
935,3517
936,3518
937,3522
938,3523
939,3525
940,3527
941,3531
942,3533
943,3537
944,3540
945,3544
946,3546
947,3549
948,3550
949,3551
950,3555
951,3556
952,3557
953,3558
954,3559
955,3561
956,3563
957,3564
958,3565
959,3566
960,3568
961,3570
962,3572
963,3573
964,3579
965,3585
966,3586
967,3590
968,3599
969,3608
970,3610
971,3616
972,3617
973,3618
974,3620
975,3621
976,3622
977,3623
978,3624
979,3629
980,3630
981,3631
982,3633
983,3634
984,3635
985,3636
986,3638
987,3639
988,3640
989,3641
990,3644
991,3646
992,3647
993,3649
994,3658
995,3660
996,3663
997,3664
998,3665
999,3666
1000,3669
1001,3670
1002,3672
1003,3673
1004,3675
1005,3678
1006,3682
1007,3683
1008,3685
1009,3688
1010,3691
1011,3695
1012,3699
1013,3700
1014,3701
1015,3705
1016,3707
1017,3709
1018,3711
1019,3713
1020,3714
1021,3715
1022,3720
1023,3722
1024,3723
1025,3725
1026,3726
1027,3727
1028,3728
1029,3730
1030,3732
1031,3735
1032,3737
1033,3739
1034,3740
1035,3741
1036,3746
1037,3747
1038,3749
1039,3750
1040,3751
1041,3752
1042,3753
1043,3754
1044,3755
1045,3756
1046,3757
1047,3758
1048,3759
1049,3760
1050,3761
1051,3762
1052,3763
1053,3764
1054,3765
1055,3766
1056,3767
1057,3770
1058,3775
1059,3777
1060,3781
1061,3782
1062,3783
1063,3785
1064,3786
1065,3787
1066,3788
1067,3789
1068,3791
1069,3792
1070,3793
1071,3795
1072,3796
1073,3797
1074,3799
1075,3802
1076,3803
1077,3804
1078,3805
1079,3806
1080,3807
1081,3808
1082,3809
1083,3810
