electorate_id,locality_suburb_id,postcode_id,state_id
11,6154,73,2
11,6394,113,2
11,6643,147,2
11,6669,513,2
11,6772,529,2
11,6810,513,2
11,7017,113,2
11,7258,116,2
11,7273,113,2
11,7332,529,2
12,223,1307,4
12,445,1315,4
12,457,1311,4
12,472,1302,4
12,492,1314,4
12,675,1307,4
12,718,1307,4
12,802,1306,4
12,1052,1305,4
12,1116,1313,4
12,1264,1307,4
12,1265,1305,4
12,1528,1305,4
12,1533,1307,4
12,1644,1313,4
12,1662,1306,4
12,1721,1311,4
12,1848,1312,4
12,1852,1311,4
12,1975,1305,4
12,2158,1312,4
12,2230,1315,4
12,2695,1306,4
12,2699,1307,4
12,2717,1311,4
12,2787,1312,4
12,2791,1306,4
12,2865,1314,4
12,2881,1303,4
12,2960,1313,4
12,2979,1311,4
12,3013,1311,4
12,3197,1313,4
12,3221,1312,4
12,3443,1307,4
12,3473,1306,4
12,3532,1304,4
12,3661,1307,4
12,3749,1306,4
12,3780,1306,4
12,3788,1305,4
12,3790,1315,4
12,3893,1307,4
12,3924,1312,4
12,3925,1312,4
12,3991,1307,4
12,4040,1307,4
12,4094,1306,4
12,4179,1313,4
12,4283,1307,4
12,4296,1312,4
12,4330,1387,4
12,4394,1307,4
12,4442,1315,4
12,4496,1313,4
12,4568,1307,4
12,4614,1314,4
12,4658,1387,4
12,4896,1306,4
12,4900,1307,4
12,4914,1313,4
12,4937,1315,4
12,4956,1387,4
12,5023,1307,4
12,5025,1307,4
12,5036,1307,4
12,5122,1307,4
12,5140,1387,4
12,5165,1387,4
12,5297,1307,4
12,5327,1315,4
12,5341,1307,4
12,5378,1306,4
12,5427,1314,4
12,5445,1317,4
12,5483,1313,4
12,5492,1315,4
12,5502,1311,4
12,5620,1320,4
12,5801,1311,4
12,5840,1387,4
12,5858,1312,4
12,5870,1314,4
12,5874,1306,4
12,5910,1386,4
12,5911,1313,4
12,5914,1312,4
12,5920,1307,4
12,5931,1315,4
12,5935,1312,4
12,5942,1387,4
12,5951,1307,4
12,5957,1315,4
12,5974,1314,4
12,5977,1311,4
12,5983,1315,4
12,6013,1307,4
12,6040,1312,4
12,6045,1308,4
12,6105,1304,4
13,465,134,2
13,683,178,2
13,684,178,2
13,807,175,2
13,1044,131,2
13,1221,133,2
13,2646,151,2
13,2925,178,2
13,4240,176,2
13,4521,150,2
13,5333,152,2
13,5405,131,2
13,5794,190,2
13,6312,187,2
13,6477,133,2
13,6558,133,2
13,6567,188,2
13,6730,151,2
13,6801,132,2
13,7129,152,2
13,7410,177,2
14,977,1254,4
14,1950,1192,4
14,2035,1257,4
14,2316,1267,4
14,2353,1192,4
14,2412,1253,4
14,2415,1253,4
14,2585,1256,4
14,3141,1192,4
14,3826,1232,4
14,4526,1255,4
14,4691,1271,4
14,4776,1240,4
14,4777,1240,4
14,5225,1192,4
14,5424,1272,4
14,5473,1273,4
14,5533,1272,4
14,5545,1257,4
14,5603,1273,4
14,5605,1273,4
14,5612,1241,4
14,5889,1192,4
14,5933,1241,4
14,5934,1241,4
14,6033,1269,4
14,6473,1272,4
14,6533,1255,4
14,6599,1242,4
14,6952,1192,4
14,7024,1270,4
14,7107,1241,4
14,7145,1255,4
14,7333,1241,4
14,7403,1272,4
14,7404,1272,4
15,425,1572,5
15,880,1571,5
15,918,1581,5
15,963,1579,5
15,1230,1565,5
15,1273,1580,5
15,1718,1577,5
15,1815,1583,5
15,2707,1583,5
15,2713,1568,5
15,2714,1564,5
15,2771,1571,5
15,2894,1570,5
15,3165,1642,5
15,3280,1570,5
15,3394,1576,5
15,3416,1570,5
15,3594,1577,5
15,3800,1579,5
15,3819,1568,5
15,4124,1565,5
15,4284,1566,5
15,4308,1581,5
15,4323,1574,5
15,4324,1574,5
15,4325,1574,5
15,4326,1574,5
15,4336,1573,5
15,4641,1583,5
15,4815,1577,5
15,5175,1564,5
15,5187,1578,5
15,5190,1583,5
15,5364,1641,5
15,5490,1583,5
15,5528,1583,5
15,5632,1578,5
15,5633,1572,5
15,5720,1568,5
15,5793,1564,5
15,5811,1583,5
15,5813,1572,5
15,5898,1572,5
15,6099,1583,5
15,6164,1577,5
15,6254,1575,5
15,6241,1647,5
15,6332,1570,5
15,6347,1572,5
15,6364,1571,5
15,6445,1567,5
15,6716,1578,5
15,6717,1578,5
15,6718,1576,5
15,6719,1576,5
15,6727,1578,5
15,6789,1573,5
15,6795,1577,5
15,6816,1567,5
15,6837,1583,5
15,6862,1571,5
15,6901,1576,5
15,7032,1571,5
15,7050,1583,5
15,7114,1585,5
15,7186,1575,5
15,7269,1570,5
16,127,1262,4
16,235,1274,4
16,1214,1260,4
16,2334,1258,4
16,2749,1263,4
16,2954,1275,4
16,3681,1274,4
16,5037,1275,4
