id,locality_suburb
667,Bangerang
668,Bangham
669,Bangheet
670,Bangholme
671,Bango
672,Bangor
673,Banjup
674,Banks
675,Banks Creek
676,Banks Pocket
677,Banksia
678,Banksia Beach
679,Banksia Grove
680,Banksia Park
681,Banksia Peninsula
682,Banksmeadow
683,Bankstown
684,Bankstown Aerodrome
685,Bannaby
686,Bannerton
687,Bannister
688,Bannockburn
689,Banoon
690,Banora Point
691,Banyabba
692,Banyan
693,Banyena
694,Banyo
695,Bapaume
696,Bar Beach
697,Bar Point
698,Bara
699,Barabba
700,Baradine
701,Barakula
702,Baralaba
703,Barambah
704,Baranduda
705,Barangaroo
706,Baratta
707,Barbalin
708,Barberton
709,Barcaldine
710,Barden Ridge
711,Bardia
712,Bardon
713,Bardwell Park
714,Bardwell Valley
715,Bare Island
716,Baree
717,Barellan
718,Barellan Point
719,Barfold
720,Bargara
721,Bargo
722,Bargunyah
723,Barham
724,Barigan
725,Baringa
726,Baringhup
727,Baringhup West
728,Barinia
729,Barjarg
730,Barker Creek Flat
731,Barkers Creek
732,Barkers Vale
733,Barkly
734,Barkstead
735,Barlil
736,Barlows Hill
737,Barmah
738,Barmaryee
739,Barmedman
740,Barmera
741,Barmoya
742,Barna
743,Barnadown
744,Barnard
745,Barnawartha
746,Barnawartha North
747,Barndioota
748,Barnes Bay
749,Barney Point
750,Barney View
751,Barneys Reef
752,Barnsley
753,Baromi
754,Barongarook
755,Barongarook West
756,Barooga
757,Baroondah
758,Baroota
759,Barossa Goldfields
760,Barraba
761,Barrabool
762,Barrabup
763,Barrack Heights
764,Barrack Point
765,Barraganyatti
766,Barragga Bay
767,Barragup
768,Barrakee
769,Barramornie
770,Barramunga
771,Barraport
772,Barraport West
773,Barratta
774,Barren Grounds
775,Barrengarry
776,Barretta
777,Barretts Creek
778,Barrine
779,Barringella
780,Barringha
781,Barrington
782,Barrington Tops
783,Barringun
784,Barron
785,Barrow Island
786,Barry
787,Barrys Reef
788,Bartle Frere
789,Barton
790,Barunah Park
791,Barunah Plains
792,Barunga Gap
793,Barwang
794,Barwidgee
795,Barwidgi
796,Barwite
797,Barwon
798,Barwon Downs
799,Barwon Heads
800,Baryulgil
801,Basalt
802,Basin Pocket
803,Basin View
804,Baskerville
805,Basket Range
806,Bass
807,Bass Hill
808,Bassendean
809,Batar Creek
810,Bateau Bay
811,Batehaven
812,Bateman
813,Batemans Bay
814,Batesford
815,Bathampton
816,Bathumi
817,Bathurst
818,Batlow
819,Battery Hill
820,Battery Point
821,Baudin Beach
822,Bauhinia
823,Baulkham Hills
824,Bauple
825,Bauple Forest
826,Baw Baw
827,Baw Baw Village
828,Bawley Point
829,Baxter
830,Baxters Ridge
831,Bay Of Shoals
832,Bayindeen
833,Bayldon
834,Bayles
835,Baynton
836,Baynton East
837,Bayonet Head
838,Bayrick
839,Bayswater
840,Bayswater North
841,Bayulu
842,Bayview
843,Bayview Haven
844,Bayview Heights
845,Beach Holm
846,Beachlands
847,Beachmere
848,Beachport
849,Beachview
850,Beacon
851,Beacon Hill
852,Beaconsfield
853,Beaconsfield Upper
854,Beadell
855,Beagle Bay
856,Bealiba
857,Bean Creek
858,Bearbong
859,Beard
860,Bearii
861,Bears Lagoon
862,Beatrice
863,Beatty
864,Beauchamp
865,Beaudesert
866,Beaufort
867,Beaufort River
868,Beaumaris
869,Beaumont
870,Beaumont Hills
871,Beaumonts
872,Beauty Point
873,Beaver Rock
874,Beazleys Bridge
875,Beckenham
876,Beckom
877,Bective
878,Bectric
879,Bedford
880,Bedford Park
881,Bedfordale
882,Bedgerabong
883,Bedourie
884,Beeac
885,Beebo
886,Beech Forest
